Name of the station,Year,srcStateName,StateCode,StateName,IntermediateRatio
RIVER GANGA AT CHAMPANAGAR,2017,BIHAR,10,BIHAR,1
NARMADA AT NEMAWAR,2019,"MADHYA
PRADESH",23,MADHYA PRADESH,1
RIVER NARMADA AT NEMAWAR,2016,MADHYA PRADESH,23,MADHYA PRADESH,1
SWAN RIVER AT D/S NANGAL DISTT. UNA,2017,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"SUBARNAREKHA AT D/S JAMSHEDPUR, (TATA NAGAR), JHAR",2018,JHARKHAND,20,JHARKHAND,1
"RAVI AT U/S OF MADHOPUR HEADWORKS,GURDASPUR,PUNJAB",2014,PUNJAB,3,PUNJAB,1
DOWNSTREAM OF HASDEO RIVER NEAR URGA VILLAGE KORBA,2018,CHHATTISGARH,22,CHHATTISGARH,1
"TUNGABHADRA AT MANTHRALAYAM, KURNOOL",2019,"ANDHRA
PRADESH",28,ANDHRA PRADESH,1
WARDHA D/S OF ACC GHUGGUS,2016,MAHARASHTRA,27,MAHARASHTRA,1
"BEAS U/S GOINDWAL, PUNJAB",2017,PUNJAB,3,PUNJAB,1
"NARMADA AT BHARUCH, ZADESHVAR, GUJARAT",2014,GUJARAT,24,GUJARAT,1
"GHOD AT SHIRUR, PUNE",2016,MAHARASHTRA,27,MAHARASHTRA,1
PARVATI NEAR INTAKE POINT PILLUKHEDI DISTT. RAJGARH,2016,MADHYA PRADESH,23,MADHYA PRADESH,1
HEMAVATI AT D/S OF HOLENARASIPURA TOWN AT RAMADEVALA WEIR,2013,KARNATAKA,29,KARNATAKA,1
"NARMADA AT PANCHWATIGHAT, BEFORE MIXING WITH BAWANGANGA JABALPUR",2016,MADHYA PRADESH,23,MADHYA PRADESH,1
DHANSIRI AT FULL NAGARJAN,2012,NAGALAND,13,NAGALAND,1
"KATHAJODI AT CUTTACK D/S, ORISSA",2013,ORISSA,21,ODISHA,1
"GODAVARI AT RAMAGUNDAM D/S, NEAR FCI INTAKE WELL, KARIMNAGAR",2017,ANDHRA PRADESH,36,TELANGANA,1
"KANHAN RIVER D/S OF M/S VIDHARBHA PAPER MILL, SINORA.",2014,MAHARASHTRA,27,MAHARASHTRA,1
TUNGHABHADRA AT HONNALI BRIDGE,2016,KARNATAKA,29,KARNATAKA,1
RIVER TIRTHAN B/C TO RIVER SUTLEJ,2019,"HIMACHAL
PRADESH",2,HIMACHAL PRADESH,1
"BEAS D/S NADAUN BRIDGE, VILL BHADOLI",2019,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"DIBANG RIVER AT ROING,",2018,ARUNACHAL PRADESH,12,ARUNACHAL PRADESH,1
NARMADA AT MANDLA NEAR ROAD BDG. M.P.,2017,MADHYA PRADESH,23,MADHYA PRADESH,1
"TAPI AT SURAT U/S KATHORE,",2019,GUJARAT,24,GUJARAT,1
"GODAVARI AT POLAVARAM, A.P.",2014,ANDHRA PRADESH,36,ANDHRA PRADESH,1
"KUSHIARA RIVER AT KARIMGANJ, ASSAM",2017,ASSAM,18,ASSAM,1
JHELAM AT CHATTABAL WEIR (OUTLET),2016,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
"RAMGANGA AT D/S SHERKOT, KALAGARH (U.P.)",2019,UTTAR PRADESH,9,UTTAR PRADESH,1
RIVER GOMTI AT NEEMSAR D/S,2017,UTTAR PRADESH,9,UTTAR PRADESH,1
"BHOGDOI RIVER AT JORHAT ,ASSAM",2014,ASSAM,18,ASSAM,1
SUBARNAREKHA AT CHANDIL DAM,2016,JHARKHAND,20,JHARKHAND,1
"MANU RIVER AT KAILASHAHAR D/S, NORTH TRIPURA",2018,TRIPURA,16,TRIPURA,1
"KALI SINDH AT BAROD ROAD BRIDGE, KOTA, RAJASTHAN",2014,RAJASTHAN,8,RAJASTHAN,1
DAYA AT GELAPUR,2019,ODISHA,21,ODISHA,1
"BRAHMAPUTRA RIVER AT CHANDRAPUR, GUWAHATI",2016,ASSAM,18,ASSAM,1
"SONE AT KOELWAR, BIHAR",2014,BIHAR,10,BIHAR,1
KRISHNA AT VIJAYWADA,2016,ANDHRA PRADESH,28,ANDHRA PRADESH,1
"GOMTI AT JAUNPUR D/S,",2019,"UTTAR
PRADESH",9,UTTAR PRADESH,1
RATNACHIRA NADI AT KUMARADIHI,2019,ODISHA,21,ODISHA,1
"TONS AT CHAKGHAT, M.P.",2018,MADHYA PRADESH,23,MADHYA PRADESH,1
"GANGA AT VARANASI U/S (ASSIGHAT), U.P",2014,UTTAR PRADESH,9,UTTAR PRADESH,1
"BHAVANI AT ELACHIVAZHY, KERALA",2018,KERALA,32,KERALA,1
"SATLUJ AT BOAT BDG. DHARMKOTNAKODAR ROAD, JALANDHAR, PUNJAB",2013,PUNJAB,3,PUNJAB,1
"NARMADA AT GARUDESHWAR, GUJARAT",2018,GUJARAT,24,GUJARAT,1
NARMADA AT HOSHANGABAD D S M.P.,2018,MADHYA PRADESH,23,MADHYA PRADESH,1
RIVER BEAS D/S OF WPF AT MANALI,2019,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"TUNGABHADRA AT HARIHAR WATER SUPPLY INTAKE,",2017,KARNATAKA,29,KARNATAKA,1
"GODAVARI AT JALNA INTAKE WATER PUMP HOUSE, SHAHABAD",2012,MAHARASHTRA,27,MAHARASHTRA,1
"MALPRABHA AT BADAMI BRIDGE, KARNATAKA",2013,KARNATAKA,29,KARNATAKA,1
MAHANADI AT TIKARPADA,2016,ODISHA,21,ODISHA,1
"SATLUJ AT 100M D/S BUDHA NALA CONFL., LUDHIANA, PUNJAB",2014,PUNJAB,3,PUNJAB,1
"BHAVANI AT BHAVANI SAGAR, TAMILNADU",2013,TAMILNADU,33,TAMIL NADU,1
KUSEI BEFORE JOINING WITH BAITARANI RIVER AT ANANDPUR,2013,ORISSA,21,ODISHA,1
"GODAVARI RIVER AT NANDUR MADHMESHWAR DAM, VILLAGE NANDUR, TALUKA NIPHAD, DISTRICT NASHIK.",2018,MAHARASHTRA,27,MAHARASHTRA,1
"BRAHMANI AT TALCHER U/S, ORISSA",2013,ORISSA,21,ODISHA,1
"VENNA RIVER AT MAHABALESHWAR, SATARA",2013,MAHARASHTRA,27,MAHARASHTRA,1
"MALPRABHA AT BADAMI BRIDGE, KARNATAKA",2018,KARNATAKA,29,KARNATAKA,1
"R.BETWA NEAR INTAKE POINT, VIDISHA, M.P",2018,MADHYA PRADESH,23,MADHYA PRADESH,1
RIVER BEAS U/S SUJANPUR TIHRA,2019,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"GANGA AT HARIDWAR D/S, U.P",2013,UTTARAKHAND,5,UTTARAKHAND,1
BRAHMAPUTRA AT DHUBRI,2016,ASSAM,18,ASSAM,1
BAITARNI AT JAJPUR ODISHA,2014,ODISHA,21,ODISHA,1
"MANER AT SOMNAPALLI, A.P.",2018,TELANGANA,36,TELANGANA,1
SUBARNAREKHA AT JAMSHEDPUR,2019,JHARKHAND,20,JHARKHAND,1
BHAVANI AT ELACHIVAZHY,2012,KERALA,32,KERALA,1
GODAVARI AT MANCHERIAL,2019,TELANGANA,36,TELANGANA,1
"YONGO RIVER AT AALO,",2018,ARUNACHAL PRADESH,12,ARUNACHAL PRADESH,1
"MAHANADI D/S (AFTER CONFL. WITH R. ONG SONEPUR U/S), ORISSA",2013,ORISSA,21,ODISHA,1
"SINDH RIVER AT RANGIL, SRINAGAR",2019,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
"SHIMSHA AT D/S OF BRIDGE, HALAGUR,",2017,KARNATAKA,29,KARNATAKA,1
SUBARNAREKHA AT RAJGHAT (THENGUDIA),2019,ODISHA,21,ODISHA,1
GANGA AT ALLAHABAD D/S (SANGAM),2019,UTTAR PRADESH,9,UTTAR PRADESH,1
"JALANGI, D/S OF KRISHNA NAGAR, NADIA",2019,WEST BENGAL,19,WEST BENGAL,1
BRAHAMPUTRA AT JOGIJHOGA NEAR BRIDGE,2012,ASSAM,18,ASSAM,1
"GODAVARI AT BURGAMPAHAD, KHAMMAM",2019,TELANGANA,36,TELANGANA,1
"CAUVERY AT KUMBAKONAM, THANJAVUR, TAMILNADU",2017,TAMIL NADU,33,TAMIL NADU,1
U/S OF VINDYADHARI RIVER AT HAROA BRIDGE,2014,WEST BENGAL,19,WEST BENGAL,1
"BHAVANI AT BHAVANI, TAMILNADU",2017,TAMIL NADU,33,TAMIL NADU,1
"BHIMA AT KOREGAON NEAR KOREGAON BRIDGE, SHIRUR, PUNE",2016,MAHARASHTRA,27,MAHARASHTRA,1
YAMUNA AT MAZAWALI,2012,UTTAR PRADESH,9,UTTAR PRADESH,1
"LAKSHMANTIRTHA AT D/S OF HUNSUR TOWN, KARNATAKA",2014,KARNATAKA,29,KARNATAKA,1
BETWA D/S AFTER MIXING OF RIVER BAIS AT VIDISHA,2018,MADHYA PRADESH,23,MADHYA PRADESH,1
"GODAVARI D/S RAMANUGUNDAM,",2012,ANDHRA PRADESH,36,TELANGANA,1
"KHAROON RIVER BUNDRI, RAIPUR, CHHATISGARH.",2017,CHATTISGARH,22,CHHATTISGARH,1
"NIRA RIVER AT D/S OF JUBILANT ORGANOSIS, NIMBUT, BARAMATI,PUNE.",2019,MAHARASHTRA,27,MAHARASHTRA,1
"D/S OF TARAPITH ON RIVER DWARKA, SATIGHAT",2013,WEST BENGAL,19,WEST BENGAL,1
"BANGANGA (IN FRONT OF PONY SHED NEAR REASI BRIDGE)KATRA,J&K",2013,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
PABBAR AT U/S ROHRU,2019,"HIMACHAL
PRADESH",2,HIMACHAL PRADESH,1
RAM REKHA RIVER AT U/S HARINAGAR,2013,BIHAR,10,BIHAR,1
DAYA AT BHUBANESWAR FU/S,2012,ORISSA,21,ODISHA,1
"NAKKAVAGU, BACHUGUDEM, MEDAK",2017,ANDHRA PRADESH,36,TELANGANA,1
"KRISHNA RIVER AT KRISHNA BRIDGE, ( KRISHNA RIVER AT NH4 BRIDGE ) VILLAGE KARAD, TALUKA KARAD, DISTRICT SATARA.",2018,MAHARASHTRA,27,MAHARASHTRA,1
MAHANADI AT PARADEEP U/S (BEFORE INDUSTRIAL ACTIVITY AT PARADEEP),2017,ODISHA,21,ODISHA,1
SWARGASHRAM 1,2018,UTTARAKHAND,5,UTTARAKHAND,1
GANGA AT HARIDWAR D/S,2018,UTTARAKHAND,5,UTTARAKHAND,1
KABATABANDHA (BEFORE IMPACT OF INDUSTRIAL ACTIVITY IN KALINGANAGAR AREA),2016,ODISHA,21,ODISHA,1
"GANGA AT SULTANGANJ, BHAGALPUR",2013,BIHAR,10,BIHAR,1
"GANGA U/S, ANOOPSHAHAR",2018,UTTAR PRADESH,9,UTTAR PRADESH,1
"KAROLA, D/S OF JALPAIGURI, NEAR MIN BHAWAN",2014,WEST BENGAL,19,WEST BENGAL,1
KRISHNA - ANKALI BRIDGE ALONG CHIKKODI KAGWAD ROAD,2014,KARNATAKA,29,KARNATAKA,1
"KAROLA, D/S OF JALPAIGURI, NEAR MIN BHAWAN",2013,WEST BENGAL,19,WEST BENGAL,1
"KUAKHAI AT BHUBANESWAR D/S, ODISHA",2014,ODISHA,21,ODISHA,1
"POONPUN RIVER NEAR KINZER ROAD BRIDGE, JEHANABAD",2019,BIHAR,10,BIHAR,1
PURI AT GOLASAHI,2018,ODISHA,21,ODISHA,1
MUNDALI(WATER INTAKE POINT OF BHUBANESWAR CITY,2014,ODISHA,21,ODISHA,1
ASANGI NALLA AT ASANGI VILL.,2012,KARNATAKA,29,KARNATAKA,1
"KARAKAVAGU D/S AT PALONCHA, KHAMMAM",2019,TELANGANA,36,TELANGANA,1
"HARBORA RIVER AT NARKATIAGANJ, WEST CHAMPARAN",2019,BIHAR,10,BIHAR,1
"SUTLEJ AT NEPTHA ZAKHAI, H.P",2018,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"YAMUNA AT SONEPAT, HARYANA",2017,HARYANA,6,HARYANA,1
"TAPI AT KATHORE, (NH8 BRIDGE)",2016,GUJARAT,24,GUJARAT,1
"VENNA AT MAHULI, SATARA",2016,MAHARASHTRA,27,MAHARASHTRA,1
"KHAROON RIVER B/C KHAPRI DRAIN, DURG, RAIPUR ROAD BRIDGE",2014,CHHATTISGARH,22,CHHATTISGARH,1
"KRISHNA RIVER AT WAI, SATARA",2019,MAHARASHTRA,27,MAHARASHTRA,1
PUNPUN NR KINZER RD BRIDGE,2012,BIHAR,10,BIHAR,1
KARO AT LOHOJIMI U/S,2012,JHARKHAND,20,JHARKHAND,1
"DARNA RIVER AT MES SITE PUMPING STATION, BHAGUR, NASHIK.",2013,MAHARASHTRA,27,MAHARASHTRA,1
"GODAVARI RIVER AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE, VILLAGE JAYAKWADI, TALUKA PAITHAN, DISTRICT AURANGABAD.",2018,MAHARASHTRA,27,MAHARASHTRA,1
"BHAVANI AT PATHIRAKALIAMMAN KOIL, TAMILNADU",2013,TAMILNADU,33,TAMIL NADU,1
SABARMATI AT RAILWAY BRIDGE AHMEDABAD,2016,GUJARAT,24,GUJARAT,1
"TAPI AT AJAND VILLAGE, RAVER, JALGAON",2019,MAHARASHTRA,27,MAHARASHTRA,1
"WAINGANGA RIVER U/S OF ELLORA PAPER MILL, TUMSAR, TUMSAR, BHANDARA",2019,MAHARASHTRA,27,MAHARASHTRA,1
"BETWA AT CHARANTIRGHAT, VIDISHA",2018,MADHYA PRADESH,23,MADHYA PRADESH,1
"MANJEERA RIVER NEAR GANAPATHI SUGARS , MEDAK DIST.",2017,ANDHRA PRADESH,36,TELANGANA,1
"GANGA AT BUXAR, RAMREKHAGHAT",2013,BIHAR,10,BIHAR,1
"SIANG RIVER AT RANAGHAT, NEAR RCC BRIDGE, PASIGHAT",2012,ARUNACHAL PRADESH,12,ARUNACHAL PRADESH,1
GANGA U/S VARANASI (ASSIGHAT),2016,UTTAR PRADESH,9,UTTAR PRADESH,1
GOLA AT HALDWANI,2016,UTTARAKHAND,5,UTTARAKHAND,1
"BHAVANI AT SIRUMUGAI, TAMILNADU",2017,TAMIL NADU,33,TAMIL NADU,1
WATER SUPPLY INTAKE POINT AT T K HALLI,2018,KARNATAKA,29,KARNATAKA,1
"GANGA AT PUNPUN, PATNA",2017,BIHAR,10,BIHAR,1
NARMADA AT MANDLA NEAR ROAD BDG. M.P.,2013,MADHYA PRADESH,23,MADHYA PRADESH,1
"GIRNA AT JALGAON, MAHARASHTRA",2013,MAHARASHTRA,27,MAHARASHTRA,1
"SUBANSIRI AT GERUKAMUKH,",2018,ARUNACHAL PRADESH,12,ARUNACHAL PRADESH,1
"NARMADA AT BHARUCH, ZADESHVAR,",2017,GUJARAT,24,GUJARAT,1
"SINGDA JHOR (TALCHER KANIHA ROAD BRIDGE, BALANGI)",2017,ODISHA,21,ODISHA,1
MALPRABHA AT BADAMI BRIDGE,2012,KARNATAKA,29,KARNATAKA,1
"GODAVARI AT BURGAMPAHAD, KHAMMAM",2012,ANDHRA PRADESH,36,TELANGANA,1
"GODAVARI AT GODAVARIKHANI, NEAR BATHING GHAT, KARIMNAGAR",2017,ANDHRA PRADESH,36,TELANGANA,1
RIVER BRAHMANI AT DHARAMSHALA U/S,2017,ODISHA,21,ODISHA,1
"BRAHMANI AT RENGALI, ORISSA",2013,ORISSA,21,ODISHA,1
"BRAHMANI AT KAMALANGA, ODISHA",2014,ODISHA,21,ODISHA,1
SARYU AT AYODHYA AT MAIN BATHING GHAT,2012,UTTAR PRADESH,9,UTTAR PRADESH,1
"BRAHAMPUTRA AT PANDU, ASSAM",2018,ASSAM,18,ASSAM,1
RIVER CHOUPAN AT VIJAYPUR 100 METRE D/S OF NFL NAL,2018,MADHYA PRADESH,23,MADHYA PRADESH,1
BEAS AT U/S KULLU,2013,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"TIHU RIVER (NEAR BRIDGE ALONG NH31) TIHU, NALBARI",2019,ASSAM,18,ASSAM,1
BAITARNI AT JODA,2019,ODISHA,21,ODISHA,1
"MULA RIVER AT HARRISON BRIDGE NEAR MULAPAWANA SANGAM, VILLAGE BOPODI,TALUKA HAWELI, .",2018,MAHARASHTRA,27,MAHARASHTRA,1
"CAUVERY AT MOHANUR NEAR PATTAIPALAYAM, TAMILNADU",2018,TAMIL NADU,33,TAMIL NADU,1
"MUSI D/S AT PRATAPSINGARAM, HYDERABAD",2019,TELANGANA,36,TELANGANA,1
KAMALA AT DARBHANGA,2016,BIHAR,10,BIHAR,1
SABARMATI AT DHAROI DAM,2019,GUJARAT,24,GUJARAT,1
GODAVARI U/S RAJAHMUNDRY,2016,ANDHRA PRADESH,36,ANDHRA PRADESH,1
RIVER GOMTI AT GAUGHAT U/S,2019,"UTTAR
PRADESH",9,UTTAR PRADESH,1
"KHAROON B/C KHAPRI DRAIN, DURG, RAIPUR ROAD BRIDGE",2012,CHHATTISGARH,22,CHHATTISGARH,1
"NARMADA AT PANETHA, GUJARAT",2013,GUJARAT,24,GUJARAT,1
"GODAVARI AT NASIK D/S, MAHARASHTRA",2016,MAHARASHTRA,27,MAHARASHTRA,1
"BETWA NEAR ROAD BRIDGE, BHOJPUR",2019,"MADHYA
PRADESH",23,MADHYA PRADESH,1
"SIKRAHNA RIVER AT LAL PARSE, BITTIAH",2017,BIHAR,10,BIHAR,1
"CAUVERY AT D/S OF KAREKUARA VILLAGE, KARNATAKA",2013,KARNATAKA,29,KARNATAKA,1
MAHANADI AT TIKARPADA,2017,ODISHA,21,ODISHA,1
"INDRAVATI RIVER B/C GODAVARI AT BHOPALPATNAM, DANTEWADA, CHHATISGARH.",2019,CHHATTISGARH,22,CHHATTISGARH,1
"DAMRING RIVER (KRISHNEI RIVER) AT RESUBELPARA,",2017,MEGHALAYA,17,MEGHALAYA,1
BETWA D/S BEENA,2016,MADHYA PRADESH,23,MADHYA PRADESH,1
"BEAS AT MIRTHAL BRIDGE, GURDASPUR",2017,PUNJAB,3,PUNJAB,1
"BEAS AT U/S PANDON DAM, H.P.",2018,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
KOYNA RIVER AT KARAD.,2017,MAHARASHTRA,27,MAHARASHTRA,1
"SIKRAHNA RIVER AT LAL PARSE, BITTIAH",2013,BIHAR,10,BIHAR,1
"DIGBOI RIVER AT LAKHIPATHE, RESERVE FOREST, DIGBOI",2012,ASSAM,18,ASSAM,1
"PEDHI RIVER NEAR ROAD BRIDGE AT DADHIPEDHI VILLAGE, BHATKULI,",2019,MAHARASHTRA,27,MAHARASHTRA,1
"BRAHMANI AT SAMAL, ODISHA",2018,ODISHA,21,ODISHA,1
"KABINI AT SARAGUR VILLAGE D/S,",2019,KARNATAKA,29,KARNATAKA,1
"BEAS AT D/S KULU, H.P.",2013,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
GHARMUKTESHWAR,2019,UTTAR PRADESH,9,UTTAR PRADESH,1
"SEONATH RIVER WATER SUPPLY WELL, DURG, CHHATISGARH.",2019,CHHATTISGARH,22,CHHATTISGARH,1
"GODAVARI AT KAMALPUR U/S M/S AP RAYONS LTD. INTAKE WELL, WARANGAL",2013,ANDHRA PRADESH,36,TELANGANA,1
U/S MANUSMAR RIVER (RIGA),2013,BIHAR,10,BIHAR,1
YAMUNA AT OKHLA AFTER MEETING OF SHAHDARA DRAIN,2012,DELHI,7,DELHI,1
"NIRA AT SAROLE BDG.ON PUNE-BANGLORE HIGHWAY, MAHARASHTRA",2014,MAHARASHTRA,27,MAHARASHTRA,1
"GANGA AT MALSALAMI, PATNA",2013,BIHAR,10,BIHAR,1
BAITARNI AT CHANDBALI U/s,2019,ODISHA,21,ODISHA,1
BALASORE U/S,2018,ODISHA,21,ODISHA,1
KHAROON U/S RAIPUR,2016,CHHATTISGARH,22,CHHATTISGARH,1
"KRISHNA AT VIJAYWADA, A.P.",2013,ANDHRA PRADESH,28,ANDHRA PRADESH,1
"NEWAJ W/S INTAKE POINT, SHUJALPUR, UJJAIN",2016,MADHYA PRADESH,23,MADHYA PRADESH,1
RIVER GIRI U/S PROPOSED SITE OF SRI RENUKAJI DAM SITE.,2019,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
BHADRA AT U/S OF MPM,2012,KARNATAKA,29,KARNATAKA,1
PANCHAGANGA RIVER AT SHIROL NEAR SHIROL INTAKE WELL.,2014,MAHARASHTRA,27,MAHARASHTRA,1
MAHANADI AT PARADEEP D/S,2017,ODISHA,21,ODISHA,1
SABARMATI A/C WITH MESHWA AT VAUTHA NEAR DHOKLA,2016,GUJARAT,24,GUJARAT,1
PARVATI NEAR VILLAGE BATAODAPAR,2012,MADHYA PRADESH,23,MADHYA PRADESH,1
RIVER GANGA AT U/S JAIL GHAT,2018,BIHAR,10,BIHAR,1
"BEAS AT HARIKE, PUNJAB",2016,PUNJAB,3,PUNJAB,1
RIVER TAPTI AT NEPA NAGAR 100 METRE D/S AFTER MIXING PANDHAR NALLA,2014,MADHYA PRADESH,23,MADHYA PRADESH,1
GOMTI AT VARANASI,2012,UTTAR PRADESH,9,UTTAR PRADESH,1
GANGA AT D/S BUXAR NEAR GANGA BRIDGE,2016,BIHAR,10,BIHAR,1
SUBARNAREKHA AT HATIA DAM,2016,JHARKHAND,20,JHARKHAND,1
"GODAVARI AT BASARA, ADILABAD, A.P",2018,TELANGANA,36,TELANGANA,1
"GOVIND SAGAR, U.P",2018,"UTTAR
PRADESH",9,UTTAR PRADESH,1
"CAUVERY AT VELORE NEAR KATTIPALAYAM, TAMILNADU",2014,TAMILNADU,33,TAMIL NADU,1
BASPA U/S RESERVOIR BASPA PROJECT,2016,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
MAHANANDA AT SILIGURI,2016,WEST BENGAL,19,WEST BENGAL,1
BRAHMANI D/S PANPOSH,2016,ODISHA,21,ODISHA,1
"TAPI RIVER AT UBAD VILLAGE NEAR GUJRATBORDER, VILLAGE UBAD, TALUKA SHAHADA, DISTRICT NANDURBAR.",2018,MAHARASHTRA,27,MAHARASHTRA,1
"GANGA AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",2017,BIHAR,10,BIHAR,1
"RAPTI AT RAJGHAT, GORAKHPUR",2014,UTTAR PRADESH,9,UTTAR PRADESH,1
"GANGA U/S, ANOOPSHAHAR",2013,UTTAR PRADESH,9,UTTAR PRADESH,1
RAW WATER FROM AT GUMMA NAUTI KHAD,2019,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"MORNA RIVER AT D/S RAILWAY BRIDGE, AKOLA",2017,MAHARASHTRA,27,MAHARASHTRA,1
"NARMADA AT AMARKANTAKE FROM ORIGIN POINT, REWA",2018,MADHYA PRADESH,23,MADHYA PRADESH,1
"AMRAVATI AT VILLAGE DADHAL , TA ANKLESHWAR, BHARUCH",2013,GUJARAT,24,GUJARAT,1
"SABARMATI AFTER CONF. WITH MESHWA AT VAUTHA (NEAR DHOKLA),",2019,GUJARAT,24,GUJARAT,1
MAHANADI AT SAMBALPUR U/S,2019,ODISHA,21,ODISHA,1
GANDAK GOPALGANJ PIPRAKOTHI ROAD BRIDGE (DUMARIA GHAT),2016,BIHAR,10,BIHAR,1
"BHADRA AT U/S OF KIOCL, KARNATAKA",2014,KARNATAKA,29,KARNATAKA,1
"SATLUJ RIVER B/C WITH RIVER SPITI AT KHAB, DISTT.KINNAUR",2017,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
CAUVERY AT WATER SUPPLY INTAKE POINT AT T K HALLI,2019,KARNATAKA,29,KARNATAKA,1
"GANGA AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",2013,BIHAR,10,BIHAR,1
"DHANSIRI AT NUTON BASTI, NAGALAND",2014,NAGALAND,13,NAGALAND,1
BRAHAMPUTRA AT KHERGHAT (A/C WITH DIBANG & DIHANG),2012,ASSAM,18,ASSAM,1
"WARDHA RIVER AT U/S OF ACC GHUGGUS. , CHANDRAPUR",2017,MAHARASHTRA,27,MAHARASHTRA,1
"SONE AT AMLAI, 100 METRE D/S AFTER MIXING OF ATPS EFFLUENT, REWA",2014,MADHYA PRADESH,23,MADHYA PRADESH,1
ASHWANI AT U/S YASHWANT NAGAR,2019,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
DIKCHU B/c WITH TEESTA NEAR NHPC HYDROELECTRIC POWER PROJECT,2019,SIKKIM,11,SIKKIM,1
PARVATI AT U/S MANIKARAN,2014,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"MAHANADI AT SHEORINARAYAN VILLAGE, CHHATISSGARH.",2013,CHHATTISGARH,22,CHHATTISGARH,1
KHAN AT SANWER,2016,MADHYA PRADESH,23,MADHYA PRADESH,1
"WARDHA RIVER AT U/S OF ACC GHUGGUS, CHANDRAPUR.",2012,MAHARASHTRA,27,MAHARASHTRA,1
PABBAR AT U/S DHAMBARI,2014,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"TALCHER FU/S (INTAKE WELL OF MCL, TALCHER)",2018,ODISHA,21,ODISHA,1
"BHIMA RIVER AT KOREGAON NEAR KOREGAON BRIDGE, SHIRUR, PUNE",2014,MAHARASHTRA,27,MAHARASHTRA,1
MAHANADI D/S CUTTACK,2016,ODISHA,21,ODISHA,1
CHAMBAL AT KOTA D/S (2 KM. FROM CITY),2012,RAJASTHAN,8,RAJASTHAN,1
SONE RIVER NEAR BANZARI,2017,BIHAR,10,BIHAR,1
"GODAVARI AT VISHNUPURI,NANDED, NANDED",2019,MAHARASHTRA,27,MAHARASHTRA,1
BHIMA AT D/S OF ROAD BRIDGE AT GANGAPUR,2012,KARNATAKA,29,KARNATAKA,1
SINDH AT WAIL BRIDGE,2016,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
"TAWI AT BELICHARANA(4KM D/S TAWI BRIDGE),J&K",2013,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
MUTHA AT SANGAM BRIDGE NEAR GANAPATHY GHAT,2016,MAHARASHTRA,27,MAHARASHTRA,1
"BINDUSARA RIVER AT BEED NEAR INTAKE WATER PUMP HOUSE AT DAM, PALIGAON, BEED",2014,MAHARASHTRA,27,MAHARASHTRA,1
PANCHAGANGA AT ICHALKARANJI,2016,MAHARASHTRA,27,MAHARASHTRA,1
"SONE RIVER NEAR BANZARI, ROHTAS",2019,BIHAR,10,BIHAR,1
GANGA AT MUNGER,2018,BIHAR,10,BIHAR,1
"BARAKAR AT ASANSOL (WATER INTAKE POINT), WEST BENGAL",2013,WEST BENGAL,19,WEST BENGAL,1
"CAUVERY AT 1KM. D/S OF BHAVANI RIVER CONFL., TAMIL",2018,TAMIL NADU,33,TAMIL NADU,1
"HINDON AT SARDHANA BUDHANA ROAD, VILLAGE BAPARSI, MEERUT",2016,UTTAR PRADESH,9,UTTAR PRADESH,1
"SIKRAHNA RIVER AT LAUREA, HARINAGAR ROAD BRIDGE",2017,BIHAR,10,BIHAR,1
"KHAN AT SAKKAR KHADI, INDORE",2019,"MADHYA
PRADESH",23,MADHYA PRADESH,1
"CAUVERY AT KOMARAPALAYAM, NAMAKAL, TAMILNADU",2019,TAMIL NADU,33,TAMIL NADU,1
"SHIMSHA AT D/S OF BRIDGE, HALAGUR, KARNATAKA",2018,KARNATAKA,29,KARNATAKA,1
"GANGA AT DAKSHMINESHWAR, KOLKATA, WEST BENGAL",2019,WEST BENGAL,19,WEST BENGAL,1
"RIVER GANGA U/S HARIDWAR AT ABINDUGHAT, DUDHIYABAD, HARIDWAR",2017,UTTARAKHAND,5,UTTARAKHAND,1
"NIRA RIVER AT SHINDEWADI, VILLAGE SHIRVAL, TALUKA KHANDALA,",2018,MAHARASHTRA,27,MAHARASHTRA,1
