Station code,Station name,srcStateName,Minimum temperature for ground water in celsius,Maximum temperature for ground water in celsius,Minimum potential of Hydrogen value in water,Maximum potential of Hydrogen value in water,Minimum Conductivity Level,Maximum Conductivity Level,Minimum Biochemical oxygen demand,Maximum Biochemical oxygen demand,Minimum  of Nitrate N + Nitrite N required required for ground water,Maximum  of Nitrate N + Nitrite N required required for ground water,Minimum  of Faecal Coliforms required for ground water,Maximum   of Faecal Coliforms required for ground water,Minimum  of total coliform required for ground water,Maximum  of total coliform required for ground water,srcYear,YearCode,Year
2592,WELL-2 AT NALANDA,BIHAR,22,22,7.3,7.41,705,754,,,,,4,4,9,13,2012,2012,"Calendar Year (Jan - Dec), 2012"
2593,NAWADAH,BIHAR,23,24,7.2,7.22,884,916,,,,,4,7,8,11,2012,2012,"Calendar Year (Jan - Dec), 2012"
2594,SAHARSA,BIHAR,26.5,28,7.5,7.8,686,686,,,,,7,11,17,21,2012,2012,"Calendar Year (Jan - Dec), 2012"
2595,SAMASTIPUR,BIHAR,27,27,7.27,7.27,829,829,,,,,4,4,11,11,2012,2012,"Calendar Year (Jan - Dec), 2012"
2596,SITAMARHI,BIHAR,23,26,7.56,8.4,454,812,,,,,1,7,2,17,2012,2012,"Calendar Year (Jan - Dec), 2012"
2597,SIWAM,BIHAR,24,24,7.7,7.7,510,556,,,,,4,8,11,17,2012,2012,"Calendar Year (Jan - Dec), 2012"
2598,WELL-1 ROHTAS,BIHAR,23,23,7.9,8.11,402,416,,,,,1,4,2,11,2012,2012,"Calendar Year (Jan - Dec), 2012"
2599,WELL-2 ROHTAS,BIHAR,22,24,7.4,7.52,901,946,,,,,2,4,4,11,2012,2012,"Calendar Year (Jan - Dec), 2012"
2600,VAISHALI,BIHAR,25,26,7.51,8.1,766,905,,,,,2,7,4,11,2012,2012,"Calendar Year (Jan - Dec), 2012"
1620,"AT RAIPUR REGION, CHHATISSGARH",CHATTISSGARH,25,32,7.25,7.96,480,786,,,1.1,1.4,,,4,11,2012,2012,"Calendar Year (Jan - Dec), 2012"
1621,"AT RAIPUR REGION,CHHATISSGARH",CHATTISSGARH,25,31,7.65,7.86,496,943,,,1.3,2.5,,,6,27,2012,2012,"Calendar Year (Jan - Dec), 2012"
1622,AT BILASPUR REGION,CHATTISSGARH,31,31,7.5,7.5,789,1789,,,1.96,3.88,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
1617,"OPEN WELL/TUBE WELL INDL AREA MANDIDEEP, RAISEN",MADHYA PRADESH,38,38,8.2,8.2,340,340,1.7,1.7,1,1,,,33,33,2012,2012,"Calendar Year (Jan - Dec), 2012"
1618,"GW SAMPLING AT TWO POINTS IN INDUSTRIAL AREA MALANPUR, M.P",MADHYA PRADESH,,,7.4,7.6,821,821,3.6,3.6,0.9,0.9,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
1619,GROUND WATER SAMPLING AT TWO POINTS IN INDL AREA MALANPUR,MADHYA PRADESH,,,7.26,7.3,818,818,3.4,3.4,0.93,0.93,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2143,"KATHODA, JABALPUR",MADHYA PRADESH,28,28,7.3,7.3,475,475,1.2,1.2,0.2,0.2,,,4,4,2012,2012,"Calendar Year (Jan - Dec), 2012"
2144,"MADAI GRAM, JABALPUR",MADHYA PRADESH,32,32,7.8,7.8,918,918,1,1,,,,,7,7,2012,2012,"Calendar Year (Jan - Dec), 2012"
2145,"MEHATWAS, NAGDA",MADHYA PRADESH,28,29,7.76,7.8,1850,2514,1,2.5,4.1,4.1,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2146,"BHAGATPURI VILLAGE, NAGDA",MADHYA PRADESH,27,29,7.2,7.5,1300,1340,0.8,3,7,9.98,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2148,"DOSIGAON, RATLAM",MADHYA PRADESH,26,26,7.4,7.8,1860,2210,2,6,1.01,1.4,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2149,"CULVERT ON A.B. ROAD, MAKSI",MADHYA PRADESH,25,25,7,8,941,1100,1.2,1.2,1.67,10.87,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2153,IBRAHIMGANJ NEAR BUS STAND,MADHYA PRADESH,36,36,7.8,7.8,510,510,1.3,1.3,1.64,1.964,,,50,50,2012,2012,"Calendar Year (Jan - Dec), 2012"
1440,WELL AT SOMNATH INDL ESTATE,DAMAN,28,31,7,7.4,771,1660,,,0.3,2.1,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2448,"VILLAGE BHIMPORE,DAMAN",DAMAN,29,30,7.2,7.5,590,931,,,0.61,0.608,,,7,7,2012,2012,"Calendar Year (Jan - Dec), 2012"
2448,"VILLAGE BHIMPORE,DAMAN",DAMAN,30.5,30.5,7,7.1,771,2218,8,8,3.4,3.74,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2449,"VILLAGE RINGANWADA,DAMAN",DAMAN,30,30,7,7.1,1500,1994,,,1.1,2.3,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2450,"VILLAGE DUNETHA,DAMAN",DAMAN,29,31,7.1,7.7,521,594,,,1.5,4.3,,,2,2,2012,2012,"Calendar Year (Jan - Dec), 2012"
2451,"VILLAGE DABHEL,DAMAN",DAMAN,30,30.5,7.3,7.5,754,1542,8,8,1,2,,,10,10,2012,2012,"Calendar Year (Jan - Dec), 2012"
2452,"VILLAGE KACHIGAM,DAMAN",DAMAN,29.5,29.5,6.9,7,1942,2272,,,1.52,3.1,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2453,"VILLAGE KHANVEL, DADRA",DADRA NAGAR HAVELI,30,30.5,6.7,7.3,385,594,,,4.9,5.3,,,4,4,2012,2012,"Calendar Year (Jan - Dec), 2012"
2454,"VILLAGE ATHAL, DADRA",DADRA NAGAR HAVELI,30,31,7.1,7.5,482,657,,,0.3,0.8,,,2,2,2012,2012,"Calendar Year (Jan - Dec), 2012"
2455,"VILLAGE MASAT, DADRA",DADRA NAGAR HAVELI,30,31,6.9,7.6,1581,1995,6,6,0.3,0.4,,,4,4,2012,2012,"Calendar Year (Jan - Dec), 2012"
2456,"VILLAGE PIPERIA, DADRA",DADRA NAGAR HAVELI,29.5,30,6.9,7.4,1035,1542,,,0.2,0.4,,,12,12,2012,2012,"Calendar Year (Jan - Dec), 2012"
2457,"VILLAGE GALONDA, DADRA",DADRA NAGAR HAVELI,31,31,7.2,7.8,1165,1676,,,0.7,0.8,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2458,"VILLAGE, DADRA",DADRA NAGAR HAVELI,29,31,7.3,7.7,2199,2693,6,6,0.3,0.5,,,14,14,2012,2012,"Calendar Year (Jan - Dec), 2012"
2824,"DUG WELL AT NAREGAON.VILLAGE- NAREGAON, TALUKA- AURANGABAD, DISTRICT- AURANGABAD.",MAHARASHTRA,32,32,8.1,8.1,1077,1077,3.8,3.8,0.26,0.26,2,2,140,140,2012,2012,"Calendar Year (Jan - Dec), 2012"
2825,"BORE WELL AT WAHEGAON, NEAR ZILLA PARISHET SCHOOL. VILLAGE- WAHEGAON, TALUKA- PAITHAN,DISTRICT- AURANGABAD.",MAHARASHTRA,24,32,8.3,8.8,2557,5212,3.2,5.2,5.16,5.16,2,2,14,80,2012,2012,"Calendar Year (Jan - Dec), 2012"
2829,"BORE WELL AT MIDC SHIROLI NEARM/S PRATIBHA ENTERPRISES. VILLAGE- SHIROLI, TALUKA- HATKANANGALE,DISTRICT- KOLHAPUR.",MAHARASHTRA,23,23,8.6,8.67,821.4,824.6,2.4,2.8,0.79,1.48,2,8,40,60,2012,2012,"Calendar Year (Jan - Dec), 2012"
2830,"BORE WELL AT MIDC GOKUL-SHIRGAON. VILLAGE- GOKUL-SHIRGAON, TALUKA- KARVIR, DISTRICT- KOLHAPUR.",MAHARASHTRA,23,23,8.1,8.44,1780,1875,2.2,2.4,3.92,4.8,2,6,50,60,2012,2012,"Calendar Year (Jan - Dec), 2012"
2831,"DUG WELL AT SAKHARALI, NEAR MIDC ISLAMPUR NEAR KRISHNA MILK INDUSTRY. VILLAGE- SAKHARALI,TALUKA- WALWA,DISTRICT- SANGLI.",MAHARASHTRA,24,24,7.71,8.11,3207,4431,2.2,2.2,3.8,3.9,4,4,110,110,2012,2012,"Calendar Year (Jan - Dec), 2012"
2832,"DUG WELL NO.1 AT BRAHMANWADI-ANJANWEL,OWNED BY SHRI. VAIDYA. VILLAGE- ANJANWEL,TALUKA- GUHAGAR, DISTRICT- RATNAGIRI.",MAHARASHTRA,25,26,7.26,7.48,280.2,435,2.2,2.4,0.69,1.76,2,4,50,80,2012,2012,"Calendar Year (Jan - Dec), 2012"
2833,"DUG WELL NO.-1 AT GROUP GRAM PANCHAYAT AT ARKETWADI, NEAR MASJID VILLAGE- ARKETWADI,TALUKA- KHED, DISTRICT- RATNAGIRI.",MAHARASHTRA,25,26,7.52,7.86,615.4,2751,2,2.4,0.57,2.97,2,4,70,90,2012,2012,"Calendar Year (Jan - Dec), 2012"
2834,"DUG WELL NO.2 AT ARKETWADI.VILLAGE- ARKETWADI, TALUKA- KHED, DISTRICT- RATNAGIRI.",MAHARASHTRA,25,30,7.54,8.29,528.5,665.5,2,2.2,0.53,1.86,2,2,60,90,2012,2012,"Calendar Year (Jan - Dec), 2012"
2835,"DUG WELL NO. 2, OWNED BY GROUP GRAM PANCHAYAT, BRAHMANWADI- ANJANWEL. VILLAGE- ANJANWEL, TALUKA- GUHAGAR, DISTRICT- RATNAGIRI.",MAHARASHTRA,26,27,7.69,7.78,243.3,342,2,2.8,0.46,1.98,2,6,40,80,2012,2012,"Calendar Year (Jan - Dec), 2012"
1984,INDL. ESTATE TARAPUR,MAHARASHTRA,27,27,7.8,7.8,1210,1210,3,3,3.3,3.3,80,80,275,275,2012,2012,"Calendar Year (Jan - Dec), 2012"
1985,MIRA-BHAYANDER,MAHARASHTRA,26,26,7.9,8.3,1292,2916,4.8,6,0.93,0.925,8,85,25,110,2012,2012,"Calendar Year (Jan - Dec), 2012"
1986,DAHANU,MAHARASHTRA,27,27,7.4,7.5,647.8,750.2,3.8,4,0.63,1.986,25,50,45,140,2012,2012,"Calendar Year (Jan - Dec), 2012"
1987,VASAI,MAHARASHTRA,26,26,7.6,7.6,986.8,1101,4,4.2,0.07,0.452,8,35,25,95,2012,2012,"Calendar Year (Jan - Dec), 2012"
1988,PALGHAR,MAHARASHTRA,27,27,7.9,8.1,577.5,588.2,3,4,0.16,1.563,25,170,45,550,2012,2012,"Calendar Year (Jan - Dec), 2012"
1989,"MSW SITE, TALOJA, RAIGAD",MAHARASHTRA,28,28,8.2,8.2,848.9,848.9,5,5,0.02,0.885,50,50,130,130,2012,2012,"Calendar Year (Jan - Dec), 2012"
1990,"BMW SITE, BURUDGAON, AHMEDNAGAR",MAHARASHTRA,,,7.29,7.73,938,1183,8,10,0.88,0.882,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
1991,"MSW SITE, PATHARDI, NASIK",MAHARASHTRA,25,26,7.44,7.75,700,760,3.2,7,3.12,96.81,4,34,22,50,2012,2012,"Calendar Year (Jan - Dec), 2012"
1992,"MSW SITE, PIMPRI-CHINCHWAD, PUNE",MAHARASHTRA,27,27,7.6,7.88,777.2,951.9,2.8,8.5,0.57,2.46,9,17,170,350,2012,2012,"Calendar Year (Jan - Dec), 2012"
1993,"PHANDARPUR, GANGAPUR, AURANGABAD",MAHARASHTRA,28,32,7.4,8.4,1140,1860,3.6,6.16,0.28,0.38,2,2,80,90,2012,2012,"Calendar Year (Jan - Dec), 2012"
1994,"TPS-DURGAPUR, CHANDRAPUR",MAHARASHTRA,20,22,7.5,7.65,636,1530,3.6,4.8,10.2,36.85,13,33,40,130,2012,2012,"Calendar Year (Jan - Dec), 2012"
1995,"KHAPERKHEDA, NAGPUR",MAHARASHTRA,20,22,7.96,8.5,934,1136,5,6.8,1.48,1.88,11,40,23,110,2012,2012,"Calendar Year (Jan - Dec), 2012"
1996,"KORADI, NAGPUR",MAHARASHTRA,20,22,7.9,8.2,1480,1820,6,8,4.96,12.6,14,60,26,140,2012,2012,"Calendar Year (Jan - Dec), 2012"
1997,"RAIPUR, NAGPUR",MAHARASHTRA,20,20,7.86,7.9,1512,1849,5.2,40,4.8,13.2,40,40,110,130,2012,2012,"Calendar Year (Jan - Dec), 2012"
1998,"BHAHMNI, KALMESHWAR, NAGPUR",MAHARASHTRA,22,24,8.06,8.5,984,1420,5.6,7.4,1.62,2.85,17,22,30,80,2012,2012,"Calendar Year (Jan - Dec), 2012"
1999,SANGERA GONDIA,MAHARASHTRA,23,24,7.69,8.6,468,492,5,8,1.48,5.3,8,17,17,60,2012,2012,"Calendar Year (Jan - Dec), 2012"
2000,"BHANDEWARI, NAGPUR",MAHARASHTRA,20,22,8.15,8.6,1010,1360,6.2,7.2,1.88,2.62,13,27,34,170,2012,2012,"Calendar Year (Jan - Dec), 2012"
2001,"SUKALI, AMRAVATI",MAHARASHTRA,20,22,7.1,8.08,492,492,3.8,5.3,5.68,8,22,30,70,170,2012,2012,"Calendar Year (Jan - Dec), 2012"
2002,"AKOT, AKOLA",MAHARASHTRA,20,25,7.82,8.03,512,1032,4.4,5.6,0.98,3.62,13,40,30,140,2012,2012,"Calendar Year (Jan - Dec), 2012"
2003,"SAWARGAON, YAVATMAL",MAHARASHTRA,18,20,7.4,7.5,426,870,3.6,4.2,1.39,2.96,8,27,13,140,2012,2012,"Calendar Year (Jan - Dec), 2012"
2004,"PARVATI INDL. ESTATE, SHIROL",MAHARASHTRA,23,23,7.52,8.51,1440,1573,1.2,2.2,1.24,1.64,2,4,40,50,2012,2012,"Calendar Year (Jan - Dec), 2012"
2005,"KHANJIRENAGAR, ICHALKARANJI",MAHARASHTRA,23,23,8.52,8.54,1540,1580,2,2,4.2,4.26,4,6,70,80,2012,2012,"Calendar Year (Jan - Dec), 2012"
2006,"MIDC, SHINOLI, CHENDGAD",MAHARASHTRA,24,24,7.58,8.57,1440,1536,2.4,3.8,4.1,4.12,2,6,60,80,2012,2012,"Calendar Year (Jan - Dec), 2012"
2007,"SAVALI, SANGLI",MAHARASHTRA,24,24,7.22,8.29,2906,5904,2.4,2.4,3.6,4.3,2,4,50,140,2012,2012,"Calendar Year (Jan - Dec), 2012"
2008,"RASULWADI-SAMBARWADI, SANGLI",MAHARASHTRA,23,24,7.85,8.22,3934,4677,2,2.4,4.02,4.53,2,4,90,120,2012,2012,"Calendar Year (Jan - Dec), 2012"
2200,"BORE WELL AT KATPUR, NEAR Z.P SCHOOL.",MAHARASHTRA,24,32,8.3,8.5,3222,6717,3.4,5,1.82,1.82,2,4,80,110,2012,2012,"Calendar Year (Jan - Dec), 2012"
2201,DUG WELL AT RANJANGAON.,MAHARASHTRA,26,32,7.1,8.1,2111,2180,3.12,5.2,4.86,7.116,2,4,60,110,2012,2012,"Calendar Year (Jan - Dec), 2012"
2202,"DUG WELL AT GHANE KUNT, NEAR AWASTHI, OWNED BY SHRI RAJENDRA AMRE",MAHARASHTRA,25,26,7.3,8.47,357,614.3,2,2,10.7,15.86,2,4,80,90,2012,2012,"Calendar Year (Jan - Dec), 2012"
2203,HAND PUMP IN THE PREMISES OF ZILLA PARISHAD PRIMARY SCHOOL,MAHARASHTRA,,,7.84,8.18,616,1010,4.6,6,0.4,3.94,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2204,"DUG WELL AT GUNJALWADI,SAGAMNER NEAR PRIMARY HEALTH CARE CENTER.",MAHARASHTRA,,,7.38,7.64,1170,1983,9.5,10,0.86,3.68,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2816,"DUG WELL OF MR. SAMPAT WALUNJ, NEAR M/S MAHAJEET CLAYTON. VILLAGE- SHINDE VILLAGE,TALUKA- NASHIK, DISTRICT- NASHIK.",MAHARASHTRA,25,26,7.57,7.85,843,1100,3,6,0.1,0.1,4,23,21,80,2012,2012,"Calendar Year (Jan - Dec), 2012"
2817,"BORE WELL AT CHITALI NR WAGH VASTHI. CHITALI, AHMADNAGAR.",MAHARASHTRA,,,7.4,7.4,808,808,2.6,2.6,3.4,8.7,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2818,"BORE WELL AT M/S SPECTRON ETHERS, RASEGAON NEAR SIDDESHWAR MAHADEV MANDIR.VILLAGE- RASEGAON, TALUKA- DINDORI, DISTRICT- NASHIK.",MAHARASHTRA,25,27,7.5,7.8,913,1000,3.8,8,5.05,5.05,11,30,27,300,2012,2012,"Calendar Year (Jan - Dec), 2012"
2819,"DUG WELL OWNED BY SHRI DESHMUKH. VILLAGE- MALEGAON, TALUKA- BARAMATI, DISTRICT- PUNE.",MAHARASHTRA,26,27,7.89,8,4654,6865,2.5,4.2,2.84,5.66,25,25,200,350,2012,2012,"Calendar Year (Jan - Dec), 2012"
2820,"DUG WELL OWNED BY SHRI SHIVAJI BABAN DAREKAR VILLAGE- SANASWADI, TALUKA- SHIRUR, DISTRICT- PUNE.",MAHARASHTRA,30,30,6.89,7.9,910.4,1357,2.5,5.5,0.18,0.26,13,25,195,550,2012,2012,"Calendar Year (Jan - Dec), 2012"
2821,"BORE WELL AT BALE RAILWAY STATION PREMISES OWNED BY SHRI. DIGAMBAR JOSHI. VILLAGE- DAHEGAON,TALUKA- NORTH SOLAPUR, DISTRICT- SOLAPUR.",MAHARASHTRA,25,25,7.82,7.82,2905,2905,4,4,0.22,0.31,11,11,350,350,2012,2012,"Calendar Year (Jan - Dec), 2012"
2822,"BORE WELL NEAR CHINCHOLI. VILLAGE- CHINCHOLI, TALUKA- MOHOL, DISTRICT- SOLAPUR.",MAHARASHTRA,25,25,7.49,7.49,1175,1175,3.5,3.5,0.4,0.4,11,11,350,350,2012,2012,"Calendar Year (Jan - Dec), 2012"
2823,"BORE WELL AT SHETE VASTI, NEAR OLD TULJAPUR ROAD. VILLAGE- TULJAPUR NAKA, TALUKA- SOLAPUR,DISTRICT- SOLAPUR.",MAHARASHTRA,25,25,7.88,7.88,1572,1572,5,5,0.28,0.28,17,17,350,350,2012,2012,"Calendar Year (Jan - Dec), 2012"
2826,"DUG WELL NEAR RAILWAY STATION, COTTON MARKET. VILLAGE- WARDHA",MAHARASHTRA,,,8.05,8.88,559,886,4.8,6.2,9.78,11.54,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2827,BORE WELL NEAR RAILWAY CROSSING AT DONGRI BUZURG.,MAHARASHTRA,20,24,7.5,7.92,496,840,4.4,5,0.74,1.32,8,22,50,80,2012,2012,"Calendar Year (Jan - Dec), 2012"
2828,"DUG WELL NEAR JILLA PARISHET PRIMARY SCHOOL, VISAPUR. VILLAGE- VISAPUR, TALUKA- BALLARPUR,DISTRICT- CHANDRAPUR.",MAHARASHTRA,16,20,7.66,7.8,790,1498,4.8,5.2,1.08,4.86,13,90,50,280,2012,2012,"Calendar Year (Jan - Dec), 2012"
2277,WELL AT VERNA INDI.ESTATE.(M/S CIPLA LIMITED),GOA,28,32,6.2,6.22,242.4,387,1,1.3,0.11,0.28,,,10,28,2012,2012,"Calendar Year (Jan - Dec), 2012"
2278,WELL AT SANCOALE INDL..ESTATE,GOA,27,32,6.25,6.38,153.7,250.2,0.7,1.3,0.04,0.08,,,80,80,2012,2012,"Calendar Year (Jan - Dec), 2012"
2279,"WELL AT ZUARI IND. LTD, ZUARI NAGAR",GOA,27,31,5.8,5.9,108.7,262.2,2.6,2.6,0.02,0.69,,,11,23,2012,2012,"Calendar Year (Jan - Dec), 2012"
2280,WELL AT KUDAI INDL. ESTATE(M/S CADILA HEALTHCARE LIMITED),GOA,26,32,5.77,5.86,147,241.1,1.7,2.9,0.31,0.39,,,4,4,2012,2012,"Calendar Year (Jan - Dec), 2012"
